[00:00.000 --> 00:02.000]  We've got it
[01:46:54.460 --> 01:46:59.460]  That's www.supernaturalsilver.com and like us on Facebook.
[01:47:01.460 --> 01:47:04.460]  Coast to coast, direct from Austin.
[01:47:04.460 --> 01:47:08.460]  You're listening to the Alex Jones Broadcasting Network.
[01:47:13.460 --> 01:47:18.460]  Defending the republic from enemies foreign and domestic.
[01:47:18.460 --> 01:47:20.460]  It's Alex Jones.
[01:47:20.460 --> 01:47:23.460]  Okay, here's the deal.
[01:47:23.460 --> 01:47:26.460]  I intended to get into this and I will on the weekday show
[01:47:26.460 --> 01:47:29.460]  because it's three hours tomorrow, 11 a.m. Central,
[01:47:29.460 --> 01:47:34.460]  12 noon Eastern, 9 a.m. Pacific, 10 a.m. Mountain.
[01:47:34.460 --> 01:47:38.460]  Websites info-wars.com, presentplanet.com.
[01:47:38.460 --> 01:47:42.460]  China eclipses U.S.'s biggest trading nation measured in goods.
[01:47:42.460 --> 01:47:48.460]  We've got an article up at info-wars.com, top banker drops bombshell.
[01:47:48.460 --> 01:47:53.460]  In fact, let me give you the actual headline up at info-wars.com.
[01:47:53.460 --> 01:47:56.460]  I'm just going from memory on that.
[01:47:56.460 --> 01:47:59.460]  But again, if you guys punch up info-wars.com,
[01:47:59.460 --> 01:48:01.460]  so I can give them that James Wolfdinson headline.
[01:48:01.460 --> 01:48:03.460]  It's very, very important.
[01:48:03.460 --> 01:48:05.460]  But I'm not going to be able to get to that right now
[01:48:05.460 --> 01:48:07.460]  because I promised to go to your phone calls
[01:48:07.460 --> 01:48:09.460]  and I want to hear from people that have lost friends, family,
[01:48:09.460 --> 01:48:12.460]  or others from suicide and what they believe caused it.
[01:48:12.460 --> 01:48:16.460]  And there it is, world banker makes stunning confession.
[01:48:16.460 --> 01:48:20.460]  And that's James Wolfdinson, former head of the World Bank,
[01:48:20.460 --> 01:48:21.460]  saying you're going to be poor.
[01:48:21.460 --> 01:48:25.460]  They're going to get rid of the middle class in the United States and Europe.
[01:48:25.460 --> 01:48:27.460]  But he doesn't tell you it's by design.
[01:48:27.460 --> 01:48:30.460]  They script the whole thing like, gee, this is happening.
[01:48:30.460 --> 01:48:35.460]  And again, it's the ultra-rich getting rid of the middle class and the nouveau riche.
[01:48:35.460 --> 01:48:37.460]  And knowing about this is the way to stop it.
[01:48:37.460 --> 01:48:38.460]  Here are some of the headlines.
[01:48:38.460 --> 01:48:43.460]  China eclipses U.S.'s biggest trading nation.
[01:48:43.460 --> 01:48:47.460]  Fed's holding of U.S. debt, that means private federal reserve,
[01:48:47.460 --> 01:48:52.460]  hits a record 1.696 trillion, 16-plus trillion, almost 17 trillion.
[01:48:52.460 --> 01:48:57.460]  The Fed's bailout of European countries with record 237 billion injection
[01:48:57.460 --> 01:48:59.460]  to foreign banks in the past month.
[01:48:59.460 --> 01:49:00.460]  It's not the countries.
[01:49:00.460 --> 01:49:03.460]  They're giving a blood transfusion to the vampires,
[01:49:03.460 --> 01:49:06.460]  the same private banks that run this country who aren't free market.
[01:49:06.460 --> 01:49:10.460]  How Obama is wielding executive power on the second term,
[01:49:10.460 --> 01:49:12.460]  yeah, turning into a dictator.
[01:49:12.460 --> 01:49:16.460]  Obama proposed spending to boost jobs in the State of the Union.
[01:49:16.460 --> 01:49:19.460]  He's doing everything he can to get rid of jobs.
[01:49:19.460 --> 01:49:22.460]  He knew when he increased taxes on people it would shut down jobs.
[01:49:22.460 --> 01:49:23.460]  That's just some of it.
[01:49:23.460 --> 01:49:29.460]  Matt in Michigan, tell us your story, sir.
[01:49:29.460 --> 01:49:34.460]  My story is about my uncle and the signs to look for
[01:49:34.460 --> 01:49:38.460]  when they try to go cold turkey and just quit taking them.
[01:49:38.460 --> 01:49:39.460]  I was 16 at the time.
[01:49:39.460 --> 01:49:43.460]  I'm 30 now, and I had seen him on a Wednesday,
[01:49:43.460 --> 01:49:46.460]  and he seemed like his mind was really racing,
[01:49:46.460 --> 01:49:49.460]  and he kept asking me, is anything wrong?
[01:49:49.460 --> 01:49:51.460]  Can I help you with anything?
[01:49:51.460 --> 01:49:55.460]  And I was not wise enough at the time to understand that something was wrong with him.
[01:49:55.460 --> 01:49:57.460]  So I'm again on a Friday, same thing.
[01:49:57.460 --> 01:49:59.460]  I knew something was wrong with him.
[01:49:59.460 --> 01:50:02.460]  To be clear, you're saying he went off serotonin reuptake inhibitors.
[01:50:02.460 --> 01:50:07.460]  He was not in the military, but he went off of them and then killed himself.
[01:50:07.460 --> 01:50:11.460]  Yeah, they'll make you commit suicide, but going cold turkey,
[01:50:11.460 --> 01:50:16.460]  boy, that's when people really kill themselves then.
[01:50:16.460 --> 01:50:21.460]  Well, absolutely, and the reason for my call is that if anybody sees these signs,
[01:50:21.460 --> 01:50:24.460]  they can interject and maybe stop this from happening.
[01:50:24.460 --> 01:50:27.460]  At the time, I was so young that I didn't understand it myself.
[01:50:27.460 --> 01:50:32.460]  Now if it happened and I saw it again, I would take actions to help divert this.
[01:50:32.460 --> 01:50:36.460]  Real fast, tell folks what he was doing, talking real fast, having anxiety.
[01:50:36.460 --> 01:50:41.460]  He was super passionate about, can I help you with anything?
[01:50:41.460 --> 01:50:43.460]  What's wrong with you?
[01:50:43.460 --> 01:50:47.460]  And his mind was racing, almost like maybe somebody that was on Crystal Maps
[01:50:47.460 --> 01:50:49.460]  or something like that.
[01:50:49.460 --> 01:50:52.460]  Yeah, no, it has a speed effect, also an hallucinogenic effect.
[01:50:52.460 --> 01:50:57.460]  Sure, and then it came to a Sunday and that's when his trigger just flipped on him
[01:50:57.460 --> 01:51:01.460]  and he did some things that were pretty wild.
[01:51:01.460 --> 01:51:05.460]  When the police showed up, he ran to the bull barn and he took a.30-06
[01:51:05.460 --> 01:51:07.460]  and he ended it.
[01:51:07.460 --> 01:51:11.460]  And this was somebody that was super good-looking, super charismatic.
[01:51:11.460 --> 01:51:15.460]  This was way beyond anything that he would normally do.
[01:51:15.460 --> 01:51:20.460]  He had a great life, but they put him on these drugs for whatever reason.
[01:51:20.460 --> 01:51:21.460]  It's always no big deal.
[01:51:21.460 --> 01:51:24.460]  Everybody's on them when they're in the hallucinogen class.
[01:51:24.460 --> 01:51:25.460]  God bless you.
[01:51:25.460 --> 01:51:26.460]  I appreciate your call.
[01:51:26.460 --> 01:51:29.460]  A few months ago, four or five months ago, a police officer responded at Walmart
[01:51:29.460 --> 01:51:33.460]  to a man walking around the aisles with a gun.
[01:51:33.460 --> 01:51:37.460]  It turned out he was on an anti-depressive, anti-psychotic drug
[01:51:37.460 --> 01:51:39.460]  and mixed alcohol with it.
[01:51:39.460 --> 01:51:41.460]  The cop just shoots him for no reason.
[01:51:41.460 --> 01:51:43.460]  The guy didn't even know who he was.
[01:51:43.460 --> 01:51:47.460]  The Sergeant Bales who went and killed 18 innocent Afghans was on psychotropics.
[01:51:47.460 --> 01:51:51.460]  You see this over and over again, and I'm not saying it's okay what they did,
[01:51:51.460 --> 01:51:56.460]  but you don't put somebody on something in the hallucinogen family
[01:51:56.460 --> 01:51:59.460]  and then when they go out and do something crazy, put them in jail.
[01:51:59.460 --> 01:52:04.460]  The drugs get the blame, and they get the blame because we need to get these drugs out of there.
[01:52:04.460 --> 01:52:07.460]  And the psychiatric system is running the Pentagon,
[01:52:07.460 --> 01:52:09.460]  and they are just putting the troops on this stuff.
[01:52:09.460 --> 01:52:12.460]  Ten years ago, they wouldn't hire you for the military
[01:52:12.460 --> 01:52:15.460]  if you'd ever been under psychiatric care or even been on Ritalin,
[01:52:15.460 --> 01:52:19.460]  and it's in the amphetamine class, not even the hallucinogen class.
[01:52:19.460 --> 01:52:21.460]  I mean, amphetamines are nothing compared to hallucinogens
[01:52:21.460 --> 01:52:24.460]  comparatively when the violence, if you look at the statistics,
[01:52:24.460 --> 01:52:26.460]  and they wouldn't take you ten years.
[01:52:26.460 --> 01:52:28.460]  Now they just take you the last ten years.
[01:52:28.460 --> 01:52:36.460]  And it is a crazy, crazy, crazy, crazy what they've done.
[01:52:36.460 --> 01:52:39.460]  Let's go to James in Arkansas.
[01:52:39.460 --> 01:52:42.460]  Before I go to James, I want to put him on hold and say this briefly.
[01:52:42.460 --> 01:52:47.460]  I'm so sick of hearing mainline neocon, fake conservative talk show host
[01:52:47.460 --> 01:52:51.460]  on radio and on TV and all the rest of it.
[01:52:51.460 --> 01:52:53.460]  Oh, I love the troops.
[01:52:53.460 --> 01:52:57.460]  They say the troops, when they say that,
[01:52:57.460 --> 01:53:01.460]  the agenda, the globalist, they just wrap that with the troops.
[01:53:01.460 --> 01:53:05.460]  But they never talk about how they're used as guinea pigs for drugs and vaccines.
[01:53:05.460 --> 01:53:08.460]  They never talk about the 5, 6, 7, 8 tours.
[01:53:08.460 --> 01:53:10.460]  They never talk about the drugs.
[01:53:10.460 --> 01:53:16.460]  And I care about everybody, foreigners, troops, police, myself, my family.
[01:53:16.460 --> 01:53:18.460]  I have empathy. I'm a regular human.
[01:53:18.460 --> 01:53:20.460]  I'm on Team Human.
[01:53:20.460 --> 01:53:23.460]  I'm on Team America as well because we've got the best bill of rights
[01:53:23.460 --> 01:53:27.460]  in the Constitution, and I'm an American going back to its founding.
[01:53:27.460 --> 01:53:31.460]  And I love this country, and I'm angry about what's happening.
[01:53:31.460 --> 01:53:33.460]  And I want everybody to get a fair shake.
[01:53:33.460 --> 01:53:36.460]  You know, so many people, I saw some video criticizing me going,
[01:53:36.460 --> 01:53:39.460]  Alex didn't know you can buy stock in the New World Order
[01:53:39.460 --> 01:53:41.460]  and these companies and get ahead.
[01:53:41.460 --> 01:53:44.460]  I know you can do that, but you're not going to have any future
[01:53:44.460 --> 01:53:48.460]  buying into the evil, thinking you've got a power trip.
[01:53:48.460 --> 01:53:49.460]  Let's go to James in Arkansas.
[01:53:49.460 --> 01:53:51.460]  James, what's your report, sir?
[01:53:51.460 --> 01:53:53.460]  Yes, thanks for taking my call, Alex.
[01:53:53.460 --> 01:53:54.460]  It's a pleasure speaking to you.
[01:53:54.460 --> 01:53:56.460]  I'm a first-time caller.
[01:53:56.460 --> 01:53:57.460]  Welcome, sir.
[01:53:57.460 --> 01:53:59.460]  Yeah, I was in the Airborne Rangers,
[01:53:59.460 --> 01:54:03.460]  and I had a friend that he went to a different company that wasn't so good.
[01:54:03.460 --> 01:54:08.460]  And the corruptors, those that were into evil and so forth,
[01:54:08.460 --> 01:54:11.460]  just kept harassing them and stressing them out and so forth.
[01:54:11.460 --> 01:54:14.460]  And I got to speak to him before block leave,
[01:54:14.460 --> 01:54:17.460]  and he was definitely into a hypnotic state.
[01:54:17.460 --> 01:54:24.460]  And during block leave, it turns out he supposedly played Russian roulette.
[01:54:24.460 --> 01:54:27.460]  He shot himself.
[01:54:27.460 --> 01:54:33.460]  And it's all to do with just like the spiritual and psychological warfare.
[01:54:33.460 --> 01:54:38.460]  If you're good or decent at all, you know, just a good godly warrior,
[01:54:38.460 --> 01:54:42.460]  and there's any evil, corrupt, or bad folks in there,
[01:54:42.460 --> 01:54:48.460]  then they want to come after you, stress you out, harass you,
[01:54:48.460 --> 01:54:52.460]  and try to infect you with the dark side.
[01:54:52.460 --> 01:54:54.460]  Now, that's exactly what they do.
[01:54:54.460 --> 01:54:59.460]  I've experienced it, not in the military, but politically and even growing up.
[01:54:59.460 --> 01:55:00.460]  I've been around to that.
[01:55:00.460 --> 01:55:04.460]  Absolutely, they're trafficking in souls, and they want your psyche.
[01:55:04.460 --> 01:55:07.460]  They want you to join them, or they'll come after you.
[01:55:07.460 --> 01:55:10.460]  Yes, and what's really helped me out a lot,
[01:55:10.460 --> 01:55:13.460]  I was in a parachute accident and so forth,
[01:55:13.460 --> 01:55:17.460]  but I made sergeant in two years and so on,
[01:55:17.460 --> 01:55:19.460]  but I got a hold of this.
[01:55:19.460 --> 01:55:22.460]  I tried to plug something, but it's helped me out so much,
[01:55:22.460 --> 01:55:28.460]  and I'm not on any pain meds anymore, and I'm not drinking.
[01:55:28.460 --> 01:55:29.460]  Good job, sir.
[01:55:29.460 --> 01:55:32.460]  They want to get you on drugs so they can take your rights from you
[01:55:32.460 --> 01:55:33.460]  and say you're bad.
[01:55:33.460 --> 01:55:36.460]  They want to get you on drugs to say you're a bad person,
[01:55:36.460 --> 01:55:38.460]  like you're a convict.
[01:55:38.460 --> 01:55:41.460]  That's their plan, to take your constitutional rights
[01:55:41.460 --> 01:55:45.460]  by inducting you into a psychiatric system or a penal system.
[01:55:45.460 --> 01:55:46.460]  Let's go to Rick in Oregon.
[01:55:46.460 --> 01:55:48.460]  Last caller we have time for.
[01:55:48.460 --> 01:55:50.460]  Apologize to the others, David in England and others,
[01:55:50.460 --> 01:55:52.460]  who had incredible stories.
[01:55:52.460 --> 01:55:53.460]  Tomorrow we'll cover this as well.
[01:55:53.460 --> 01:55:54.460]  Rick in Oregon, last caller.
[01:55:54.460 --> 01:55:55.460]  Go ahead.
[01:55:55.460 --> 01:55:58.460]  Yeah, there's a couple things I want to touch on here.
[01:55:58.460 --> 01:56:00.460]  One, I did have a friend that took his life.
[01:56:00.460 --> 01:56:05.460]  I'm a veteran myself, and I was actually out of the military
[01:56:05.460 --> 01:56:07.460]  and going to the VA and trying to seek help,
[01:56:07.460 --> 01:56:10.460]  and they were telling me, what are your issues?
[01:56:10.460 --> 01:56:13.460]  I have anxiety, depression.
[01:56:13.460 --> 01:56:14.460]  I can't sleep.
[01:56:14.460 --> 01:56:15.460]  I'm hypervigilant.
[01:56:15.460 --> 01:56:16.460]  Okay, well, this is what's wrong with you.
[01:56:16.460 --> 01:56:18.460]  You have post-traumatic stress symptoms.
[01:56:18.460 --> 01:56:19.460]  This is what's wrong with you?
[01:56:19.460 --> 01:56:20.460]  You're a man.
[01:56:20.460 --> 01:56:22.460]  You're supposed to be kicking butt, running businesses,
[01:56:22.460 --> 01:56:24.460]  standing up for yourself.
[01:56:24.460 --> 01:56:25.460]  That's normal.
[01:56:25.460 --> 01:56:27.460]  You're supposed to be hypervigilant.
[01:56:27.460 --> 01:56:28.460]  That's how I feel.
[01:56:28.460 --> 01:56:29.460]  Go ahead.
[01:56:29.460 --> 01:56:30.460]  I'm sorry.
[01:56:30.460 --> 01:56:34.460]  Well, they're telling me that these issues that I were having
[01:56:34.460 --> 01:56:38.460]  needed to be handled through this medication.
[01:56:38.460 --> 01:56:41.460]  So I was willing to take the medication because I was definitely suffering.
[01:56:41.460 --> 01:56:45.460]  Within a short amount of time, I realized that these drugs that I was taking
[01:56:45.460 --> 01:56:47.460]  were hurting me, not helping me.
[01:56:47.460 --> 01:56:50.460]  Within a month, I had a friend that was coming back.
[01:56:50.460 --> 01:56:51.460]  We crossed paths.
[01:56:51.460 --> 01:56:54.460]  He was relieving my unit that was there.
[01:56:54.460 --> 01:56:58.460]  He was complaining about depression while he was there.
[01:56:58.460 --> 01:56:59.460]  They sent him home.
[01:56:59.460 --> 01:57:01.460]  I know he was on medication as well.
[01:57:01.460 --> 01:57:05.460]  They actually, because we were reservists, just sent him home after two weeks.
[01:57:05.460 --> 01:57:06.460]  Sure, what happened to him?
[01:57:06.460 --> 01:57:07.460]  We're almost out of time.
[01:57:07.460 --> 01:57:08.460]  What happened?
[01:57:08.460 --> 01:57:10.460]  He wound up taking his own life.
[01:57:10.460 --> 01:57:12.460]  He took his life.
[01:57:12.460 --> 01:57:14.460]  I thought about taking my life.
[01:57:14.460 --> 01:57:16.460]  I have friends that have thought about taking their life.
[01:57:16.460 --> 01:57:19.460]  I know many people, including myself, that have put the gun in their mouth.
[01:57:19.460 --> 01:57:20.460]  Don't do that.
[01:57:20.460 --> 01:57:21.460]  Help the poor.
[01:57:21.460 --> 01:57:23.460]  Get a relationship with God.
[01:57:23.460 --> 01:57:26.460]  Spiritual systems can help you.
[01:57:26.460 --> 01:57:28.460]  God bless you, and I appreciate your call.
[01:57:28.460 --> 01:57:29.460]  Call me back tomorrow.
[01:57:29.460 --> 01:57:32.460]  I feel terrible having callers like that left on hold from Arkansas, Oregon,
[01:57:32.460 --> 01:57:35.460]  Colorado, Alabama, England, you name it.
[01:57:35.460 --> 01:57:38.460]  That's it for the Sunday show, but you heard it, the drugs.
[01:57:38.460 --> 01:57:40.460]  The drugs are killing them.
[01:57:40.460 --> 01:57:43.460]  Guys, just, man, go out and help others.
[01:57:43.460 --> 01:57:45.460]  That will help you.
[01:57:45.460 --> 01:57:47.460]  That's what's happened to you.
[01:57:47.460 --> 01:57:59.460]  God can heal you.
